Time (hr);Mean (mg/ml);SD;C.V (%)
0.0;0.0;0.0;0.0
0.083;0.063;0.027;42.5
0.25;0.16;0.05;30.7
0.5;0.26;0.07;26.0
0.75;0.37;0.07;19.5
1.0;0.46;0.05;11.5
1.5;0.59;0.08;12.9
2.0;0.74;0.09;12.2
2.083;0.70;0.08;11.3
2.167;0.66;0.08;12.6
2.25;0.63;0.10;16.3
2.5;0.58;0.07;12.9
2.75;0.55;0.08;15.1
3.0;0.50;0.08;16.8
3.5;0.43;0.09;19.9
4.0;0.35;0.09;24.5
4.5;0.28;0.09;32.6
5.0;0.18;0.09;49.1
5.25;0.15;0.09;61.3
5.5;0.11;0.10;85.2
5.75;0.076;0.081;106.0
6.0;0.052;0.060;117.0
6.25;0.036;0.047;132.0
6.5;0.025;0.038;154.0
6.75;0.013;0.023;177.0
7.0;0.010;0.019;188.0
7.25;0.0066;0.0149;225.0
7.5;0.0040;0.0098;245.0
7.75;0.0028;0.0069;245.0
